trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,8021,466.0,475.0,463.5,464.0,1800728,840943141,3168,listed
2026-06-02,8021,476.5,476.5,440.0,445.0,973640,438208388,2017,listed
2026-06-03,8021,461.5,470.0,458.0,470.0,1413685,656052361,2620,listed
2026-06-04,8021,460.0,460.0,438.5,441.0,940903,419456586,2505,listed
2026-06-05,8021,430.0,458.0,415.0,458.0,972595,430191352,1877,listed
2026-06-08,8021,412.5,460.0,412.5,460.0,1941008,848404246,2713,listed
2026-06-09,8021,500.0,506.0,470.0,506.0,9684100,4799427710,13692,listed
2026-06-10,8021,519.0,556.0,517.0,556.0,18225259,9934891490,21163,listed
2026-06-11,8021,529.0,581.0,501.0,570.0,28431722,15372622881,35413,listed
2026-06-12,8021,608.0,627.0,522.0,522.0,26962588,15142202544,42911,listed
2026-06-15,8021,528.0,529.0,503.0,506.0,14855629,7618034640,28117,listed
2026-06-16,8021,495.0,523.0,495.0,518.0,2033792,1044789942,4156,listed
2026-06-17,8021,524.0,550.0,524.0,542.0,2433674,1314706131,4696,listed
