trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,8996,1080.0,1100.0,1040.0,1045.0,2391569,2536314055,7395,listed
2026-06-02,8996,1050.0,1080.0,1030.0,1050.0,2096821,2212671395,4196,listed
2026-06-03,8996,1090.0,1155.0,1085.0,1095.0,3008464,3375961190,6379,listed
2026-06-04,8996,1065.0,1170.0,1065.0,1120.0,3673778,4166280600,6093,listed
2026-06-05,8996,1120.0,1155.0,1065.0,1125.0,2885310,3212686255,4210,listed
2026-06-08,8996,1015.0,1230.0,1015.0,1210.0,5831697,6541513175,10310,listed
2026-06-09,8996,1220.0,1330.0,1205.0,1330.0,5821711,7444233845,11764,listed
2026-06-10,8996,1335.0,1385.0,1215.0,1220.0,6537670,8509557200,12776,listed
2026-06-11,8996,1250.0,1250.0,1110.0,1140.0,4040924,4684491535,6510,listed
2026-06-12,8996,1215.0,1225.0,1135.0,1145.0,3113938,3641974435,4317,listed
2026-06-15,8996,1195.0,1255.0,1190.0,1255.0,1450761,1793746940,2963,listed
2026-06-16,8996,1310.0,1380.0,1265.0,1380.0,3490273,4741626690,5893,listed
2026-06-17,8996,1400.0,1515.0,1395.0,1515.0,4404786,6543658345,5908,listed
2026-06-18,8996,1555.0,1660.0,1555.0,1590.0,5947423,9552369255,9380,listed
