event_id,stock_id,company_name,announcement_date,chip_date,chip_offset_days,market,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares
mops_1471_20260127_161918_2,1471,首利,2026-01-27,20260127,0,twse,-6000.0,0.0,0.0,-6000.0
mops_1454_20260204_151256_1,1454,台富,2026-02-04,20260204,0,twse,42000.0,0.0,-4993.0,37007.0
mops_1304_20260324_155914_1,1304,台聚,2026-03-24,20260324,0,twse,-10197999.0,0.0,830.0,-10197169.0
mops_1309_20260324_160859_1,1309,台達化,2026-03-24,20260324,0,twse,2166601.0,0.0,-8308.0,2158293.0
mops_1305_20260325_154729_1,1305,華夏,2026-03-25,20260325,0,twse,-1199737.0,0.0,-580174.0,-1779911.0
mops_1323_20260408_154724_1,1323,永裕,2026-04-08,20260408,0,twse,-29635.0,0.0,-5340.0,-34975.0
mops_1449_20260409_154235_1,1449,佳和,2026-04-09,20260409,0,twse,745000.0,0.0,-38549.0,706451.0
mops_1441_20260424_151605_1,1441,大東,2026-04-24,20260424,0,twse,1000.0,0.0,0.0,1000.0
mops_1409_20260602_170411_1,1409,新纖,2026-06-02,20260602,0,twse,-1353388.0,-4000.0,1256064.0,-101324.0
mops_1312_20260604_155457_1,1312,國喬,2026-06-04,20260604,0,twse,1359567.0,0.0,-422417.0,937150.0
mops_1444_20260604_161454_1,1444,力麗,2026-06-04,20260604,0,twse,-906785.0,0.0,-25000.0,-931785.0
mops_1440_20260604_162146_1,1440,南紡,2026-06-04,20260604,0,twse,-2478000.0,0.0,140852.0,-2337148.0
mops_2493_20260616_150854_1,2493,揚博,2026-06-16,20260616,0,twse,1150000.0,0.0,-63047.0,1086953.0
mops_8021_20260616_152535_1,8021,尖點,2026-06-16,20260616,0,twse,604180.0,-100000.0,250000.0,754180.0
