event_id,stock_id,company_name,announcement_date,announcement_time,fact_date,title,clause,source,report_month,monthly_revenue,monthly_revenue_yoy_pct,quarterly_revenue,quarterly_revenue_yoy_pct,pretax_profit,pretax_profit_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,eps,eps_yoy_pct,gross_margin,operating_margin,net_margin,revenue_mom_pct,revenue_yoy_positive,pretax_yoy_positive,eps_yoy_positive,three_rises_count,has_price_file,signal_score
mops_1471_20260127_161918_2,1471,首利,2026-01-27,16:19:18,2026-01-27,係因本公司有價證券於集中交易市場達公布注意交易資訊標準，  故公布相關財務業務資訊，以利投資人區別瞭解。,第51款,mops_api_t05st01,2025-12,11.0,-0.5417000000000001,46.0,-0.3333,7.0,1.5,7.0,1.5,0.04,1.4,,,,,False,True,True,2,False,4.5583
mops_1454_20260204_151256_1,1454,台富,2026-02-04,15:12:56,2026-02-01,本公司有價證券於集中交易市場達公布注意交易資訊標準  故公布相關財務業務等重大訊息，以利投資人區別瞭解,第51款,mops_api_t05st01,2025-12,137.0,-0.13,1179.0,-0.04,137.0,-0.13,-9.0,-4.48,-9.0,-4.48,,,,,False,False,False,0,False,-9.22
mops_1304_20260324_155914_1,1304,台聚,2026-03-24,15:59:14,2026-03-24,係因本公司有價證券於集中交易市場達公布注意交易資訊標準，  故公布相關財務業務等重大訊息，以利投資人區別瞭解,第51款,mops_api_t05st01,2026-02,2844.0,99.41,,,,,-137.0,0.71,,,,,,,True,False,False,1,False,100.37
mops_1309_20260324_160859_1,1309,台達化,2026-03-24,16:08:59,2026-03-24,係因本公司有價證券於集中交易市場達公布注意交易資訊  標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解,第51款,mops_api_t05st01,2026-02,824.0,-0.43,3011.0,-0.36,-82.0,-1.73,-67.0,-1.48,-0.17,-1.43,,,,,False,False,False,0,False,-5.07
mops_1305_20260325_154729_1,1305,華夏,2026-03-25,15:47:29,2026-03-25,係因本公司有價證券於集中交易市場達公布注意交易資訊標準，  故公布相關財務業務等重大訊息，以利投資人區別瞭解。,第51款,mops_api_t05st01,2026-02,785.0,18.36,,,,,-108.0,-1.42,,,,,,,True,False,False,1,False,17.19
mops_1323_20260408_154724_1,1323,永裕,2026-04-08,15:47:24,2026-04-08,係因本公司有價證券於集中交易市場達公布注意交易資訊  標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解,第51款,mops_api_t05st01,2026-03,,,,,,,,,,,,,,,False,False,False,0,False,0.0
mops_1449_20260409_154235_1,1449,佳和,2026-04-09,15:42:35,2026-04-09,係因本公司有價證券於集中交易市場達公布注意交易資訊標準，  故公布相關財務業務等重大訊息，以利投資人區別瞭解,第51款,mops_api_t05st01,2026-02,284.0,0.222,860.0,0.287,,,,,-0.15,0.6667000000000001,,,,,True,False,True,2,False,1.3887
mops_1441_20260424_151605_1,1441,大東,2026-04-24,15:16:05,2026-04-24,係因本公司有價證券於集中交易市場達公布注意交易資訊  標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。,第51款,mops_api_t05st01,2026-03,114.58,-0.2832,376.92,-0.1506,-11.44,-1.2033,,,-11.44,-1.2033,,,,,False,False,False,0,False,-2.6898
mops_1409_20260602_170411_1,1409,新纖,2026-06-02,17:04:11,2026-06-02,因本公司有價證券於集中交易市場達公佈注意交易資訊標準，  故公布相關財務、業務等重大訊息，以利投資人區別了解,第51款,mops_api_t05st01,2026-04,4219.0,0.24309999999999998,10013.0,-0.045899999999999996,,,,,0.26,0.7333,,,,,True,False,True,2,False,1.6764
mops_1312_20260604_155457_1,1312,國喬,2026-06-04,15:54:57,2026-06-04,係因本公司有價證券於集中交易市場達公布注意交易資訊  標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。,第51款,mops_api_t05st01,2026-04,2489.0,-0.0547,7517.0,0.319,124.0,1.3212000000000002,,,0.12,1.3871,,,,,False,True,True,2,False,3.3536
mops_1444_20260604_161454_1,1444,力麗,2026-06-04,16:14:54,2026-06-04,本公司有價證券於集中交易市場達公佈注意交易資訊標準，  故公布相關財務、業務等重大訊息，以利投資人區別了解。,第51款,mops_api_t05st01,2026-04,623.0,0.09,2143.0,0.11,,,,,-0.01,0.87,,,,,True,False,True,2,False,1.46
mops_1440_20260604_162146_1,1440,南紡,2026-06-04,16:21:46,2026-06-04,係因本公司有價證券於集中交易市場達公布注意交易資訊標準，  故公布相關財務業務等重大訊息，以利投資人區別瞭解。,第51款,mops_api_t05st01,2026-04,1027.0,-0.163,3373.0,-0.1954,34.0,1.5397,34.0,1.5397,33.0,1.4583000000000002,,,,,False,True,True,2,False,5.0747
mops_2493_20260616_150854_1,2493,揚博,2026-06-16,15:08:54,2026-06-16,係因本公司有價證券於集中交易市場達公布注意交易資訊標準，  故公布相關財務業務等重大訊息，以利投資人區別瞭解,第51款,mops_api_t05st01,2026-05,372.0,0.2491,938.0,0.0124,77.0,7.357200000000001,,,0.49,7.125,,,,,True,True,True,3,True,15.6813
mops_8021_20260616_152535_1,8021,尖點,2026-06-16,15:25:35,2026-06-16,本公司有價證券於集中交易市場達公布注意交易資訊標準，  故公布有關財務業務等重大訊息，以利投資人區別瞭解。,第51款,mops_api_t05st01,2026-05,620455.0,0.8629000000000001,1339565.0,0.5096,620455.0,0.8629000000000001,,,0.79,3.5107,,,,,True,True,True,3,True,6.1865
