trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,1304,11.1,11.1,10.65,10.65,5793284.0,62603160.0,2136.0,listed
2026-01-05,1304,10.7,10.8,10.4,10.45,4522022.0,47716413.0,1857.0,listed
2026-01-06,1304,10.5,10.7,10.45,10.55,3709552.0,39152861.0,1423.0,listed
2026-01-07,1304,10.55,11.35,10.55,11.2,9081366.0,101090678.0,2883.0,listed
2026-01-08,1304,11.3,11.9,11.2,11.25,10612292.0,123100477.0,3325.0,listed
2026-01-09,1304,11.5,11.65,11.05,11.1,5260248.0,59197729.0,1701.0,listed
2026-01-12,1304,11.25,11.6,11.15,11.35,5314153.0,60513181.0,1771.0,listed
2026-01-13,1304,11.4,11.55,11.05,11.5,5227014.0,59061607.0,1406.0,listed
2026-01-14,1304,11.65,11.65,11.4,11.55,5748026.0,66436074.0,1634.0,listed
2026-01-15,1304,11.55,12.0,11.55,11.9,10626424.0,125384621.0,3020.0,listed
2026-01-16,1304,12.0,12.0,11.55,11.6,5242205.0,61444742.0,1996.0,listed
2026-01-19,1304,11.5,11.95,11.35,11.85,5985174.0,70644970.0,2050.0,listed
2026-01-20,1304,11.8,11.8,11.5,11.5,3886774.0,45071880.0,1509.0,listed
2026-01-21,1304,11.5,11.5,11.3,11.35,3096796.0,35121939.0,1187.0,listed
2026-01-22,1304,11.55,11.7,11.25,11.45,2650265.0,30331146.0,1068.0,listed
2026-01-23,1304,11.55,11.75,11.4,11.55,3084054.0,35653550.0,988.0,listed
2026-01-26,1304,11.6,12.7,11.6,12.45,26500830.0,328444837.0,8293.0,listed
2026-01-27,1304,12.9,13.0,12.2,12.3,15702154.0,196302346.0,4722.0,listed
2026-01-28,1304,12.3,12.8,12.1,12.5,11887310.0,148869003.0,3759.0,listed
2026-01-29,1304,12.5,12.6,12.1,12.3,6020592.0,74089466.0,2073.0,listed
2026-01-30,1304,12.35,12.55,12.0,12.05,7638639.0,93306009.0,2647.0,listed
2026-02-02,1304,11.9,11.9,11.0,11.05,10400694.0,117841948.0,3810.0,listed
2026-02-03,1304,11.25,11.4,10.95,11.05,4774116.0,53185887.0,1520.0,listed
2026-02-04,1304,11.15,11.65,11.05,11.6,4639152.0,53043820.0,1703.0,listed
2026-02-05,1304,11.6,11.85,11.55,11.65,3226368.0,37790309.0,1238.0,listed
2026-02-06,1304,11.55,11.55,11.15,11.2,4668478.0,52568382.0,1562.0,listed
2026-02-09,1304,11.35,11.85,11.25,11.6,5459133.0,63348447.0,1951.0,listed
