stock_id,company_name,market,quote_date,open,high,low,close,change,volume_shares,turnover_value,transactions
1301,台塑,twse,1150618,48.4,51.8,48.4,51.7,3.75,188508912.0,9689626723.0,29567.0
1303,南亞,twse,1150618,139.0,139.0,135.0,139.0,12.5,134284623.0,18641717663.0,29083.0
1304,台聚,twse,1150618,13.15,13.95,13.05,13.55,0.6,9380424.0,127777928.0,3923.0
1305,華夏,twse,1150618,12.95,13.5,12.9,13.25,0.45,4734212.0,62582236.0,1866.0
1309,台達化,twse,1150618,14.65,15.2,14.6,14.75,0.25,4208035.0,62636130.0,1788.0
1312,國喬,twse,1150618,13.35,13.75,13.3,13.5,0.25,11579478.0,155872123.0,3458.0
1323,永裕,twse,1150618,19.85,19.95,19.75,19.8,0.0,102243.0,2028633.0,71.0
1326,台化,twse,1150618,54.6,55.2,53.7,54.2,0.5,31267057.0,1699240459.0,12363.0
1409,新纖,twse,1150618,25.95,26.85,25.4,25.6,-2.35,40189860.0,1040614097.0,17995.0
1440,南紡,twse,1150618,13.7,14.15,13.3,13.3,-0.2,4811677.0,65600469.0,1845.0
1441,大東,twse,1150618,9.32,9.32,9.13,9.25,0.12,11562.0,106163.0,215.0
1444,力麗,twse,1150618,7.04,7.19,7.0,7.04,-0.03,1596752.0,11285410.0,674.0
1449,佳和,twse,1150618,14.25,14.25,13.95,14.05,-0.1,1044006.0,14645948.0,639.0
1454,台富,twse,1150618,12.8,12.9,12.8,12.85,0.05,26716.0,343225.0,76.0
1471,首利,twse,1150618,10.9,11.2,10.8,10.95,-0.65,1502138.0,16502616.0,692.0
1477,聚陽,twse,1150618,217.0,221.5,216.5,221.5,4.5,4404272.0,968284130.0,3108.0
2105,正新,twse,1150618,29.95,30.4,29.65,29.65,-0.05,38482794.0,1149259257.0,14309.0
2455,全新,twse,1150618,421.5,447.5,412.0,416.0,-12.0,25326353.0,10794482187.0,26870.0
2493,揚博,twse,1150618,251.0,273.5,247.5,273.5,24.5,3011303.0,803962855.0,3275.0
3026,禾伸堂,twse,1150618,869.0,910.0,869.0,902.0,6.0,1629559.0,1459746417.0,4469.0
3090,日電貿,twse,1150618,320.0,332.5,316.0,332.5,30.0,23571289.0,7732687827.0,23573.0
6834,天二科技,twse,1150618,101.5,101.5,101.5,101.5,9.1,1227755.0,124617101.0,618.0
8021,尖點,twse,1150618,554.0,554.0,531.0,543.0,1.0,1188992.0,642923056.0,3333.0
