parameter_id,revenue_month,stock_id,company_name,announcement_date,buy_date,buy_price,exit_date,exit_price,exit_reason,exit_status,allocation_amount,return_pct,pnl_amount,mom_pct,yoy_pct,institutional_total_net_buy_shares,avg_volume_5d,previous_volume_ratio_20d
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-01,3147,大綜,2026-02-10,2026-02-11,182.0,2026-02-26,181.5,month_end,final,200000.0,-0.002747,-549.45,2.6254000000000004,2.0661,112899.0,372400.0,2.684031710079275
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-01,6588,東典光電,2026-02-10,2026-02-11,90.0,2026-02-26,114.0,month_end,final,200000.0,0.266667,53333.33,1.2343000000000002,6.343,81000.0,1261400.0,0.6646505147983282
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-01,6596,寬宏藝術,2026-02-10,2026-02-11,147.5,2026-02-26,144.5,month_end,final,200000.0,-0.020339,-4067.8,0.7968999999999999,-0.08689999999999999,234001.0,361000.0,1.4154652686762779
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-01,4806,桂田文創,2026-02-10,2026-02-11,10.8,2026-02-26,12.1,month_end,final,200000.0,0.12037,24074.07,0.6225999999999999,2.0386,,26200.0,3.5064935064935066
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-01,6716,應廣,2026-02-10,2026-02-11,72.9,2026-02-26,96.0,month_end,final,200000.0,0.316872,63374.49,0.5106,2.3035,159303.0,843600.0,3.596905887408681
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-02,6640,均華,2026-03-10,2026-03-11,927.0,2026-03-31,1340.0,month_end,final,200000.0,0.445523,89104.64,0.3005,0.5199,254360.0,835000.0,1.7420024535245824
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-02,5289,宜鼎,2026-03-10,2026-03-11,975.0,2026-03-27,877.5,stop_loss,final,200000.0,-0.1,-20000.0,0.25429999999999997,4.0321,1615701.0,4938200.0,1.4591149386084583
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-02,5478,智冠,2026-03-10,2026-03-11,111.0,2026-03-24,99.9,stop_loss,final,200000.0,-0.1,-20000.0,0.1956,0.4329,-32999.0,430200.0,1.3871023813662438
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-02,5386,青雲,2026-03-10,2026-03-11,345.5,2026-03-12,310.95,stop_loss,final,200000.0,-0.1,-20000.0,0.17489999999999997,10.253599999999999,-61900.0,821200.0,0.12261408165845025
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,2026-02,6223,旺矽,2026-03-10,2026-03-11,3130.0,2026-03-31,3595.0,month_end,final,200000.0,0.148562,29712.46,0.0725,0.45530000000000004,306579.0,1323000.0,0.7743936998478657
