parameter_id,min_avg_volume_5d,price_breakout_days,min_institutional_net_buy,eps_quality_clip_low,eps_quality_clip_high,stop_loss,take_profit,exit_rule,filtered,selected,trades,covered_trade_months,full_trade_months,min_trades_per_month,finalized_trades,as_of_latest_trades,win_rate,avg_return_pct,total_pnl_amount,invested_amount,portfolio_return_pct
vol5_0_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,0.0,60,,,,0.1,,month_end,163,25,25,5,5,5,22,3,0.56,0.153689,768442.95,5000000.0,0.153689
vol5_50000_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,50000.0,60,,,,0.1,,month_end,149,25,25,5,5,5,22,3,0.56,0.152972,764861.24,5000000.0,0.152972
vol5_100000_high60_instany_epsloany_epshiany_sl10_tpnone_month_end,100000.0,60,,,,0.1,,month_end,143,25,25,5,5,5,22,3,0.56,0.152972,764861.24,5000000.0,0.152972
vol5_50000_high60_instany_epsloany_epshiany_sl20_tpnone_month_end,50000.0,60,,,,0.2,,month_end,149,25,25,5,5,5,20,5,0.56,0.149334,746670.82,5000000.0,0.149334
vol5_100000_high60_instany_epsloany_epshiany_sl20_tpnone_month_end,100000.0,60,,,,0.2,,month_end,143,25,25,5,5,5,20,5,0.56,0.149334,746670.82,5000000.0,0.149334
vol5_0_high120_instany_epsloany_epshiany_sl10_tpnone_month_end,0.0,120,,,,0.1,,month_end,157,25,25,5,5,5,22,3,0.52,0.149276,746381.26,5000000.0,0.149276
vol5_0_high240_instany_epsloany_epshiany_sl10_tpnone_month_end,0.0,240,,,,0.1,,month_end,157,25,25,5,5,5,22,3,0.52,0.149276,746381.26,5000000.0,0.149276
vol5_50000_high120_instany_epsloany_epshiany_sl10_tpnone_month_end,50000.0,120,,,,0.1,,month_end,143,25,25,5,5,5,22,3,0.52,0.14856,742799.55,5000000.0,0.14856
vol5_50000_high240_instany_epsloany_epshiany_sl10_tpnone_month_end,50000.0,240,,,,0.1,,month_end,143,25,25,5,5,5,22,3,0.52,0.14856,742799.55,5000000.0,0.14856
vol5_100000_high120_instany_epsloany_epshiany_sl10_tpnone_month_end,100000.0,120,,,,0.1,,month_end,138,25,25,5,5,5,22,3,0.52,0.14856,742799.55,5000000.0,0.14856
vol5_100000_high240_instany_epsloany_epshiany_sl10_tpnone_month_end,100000.0,240,,,,0.1,,month_end,138,25,25,5,5,5,22,3,0.52,0.14856,742799.55,5000000.0,0.14856
vol5_0_high60_instany_epsloany_epshiany_sl20_tpnone_month_end,0.0,60,,,,0.2,,month_end,163,25,25,5,5,5,20,5,0.56,0.148174,740868.64,5000000.0,0.148174
vol5_50000_high60_instany_epsloany_epshiany_slnone_tpnone_month_end,50000.0,60,,,,,,month_end,149,25,25,5,5,5,20,5,0.56,0.147725,738624.51,5000000.0,0.147725
vol5_50000_high60_instany_epsloany_epshiany_sl30_tpnone_month_end,50000.0,60,,,,0.3,,month_end,149,25,25,5,5,5,20,5,0.56,0.147725,738624.51,5000000.0,0.147725
vol5_100000_high60_instany_epsloany_epshiany_slnone_tpnone_month_end,100000.0,60,,,,,,month_end,143,25,25,5,5,5,20,5,0.56,0.147725,738624.51,5000000.0,0.147725
vol5_100000_high60_instany_epsloany_epshiany_sl30_tpnone_month_end,100000.0,60,,,,0.3,,month_end,143,25,25,5,5,5,20,5,0.56,0.147725,738624.51,5000000.0,0.147725
vol5_0_high60_instany_epsloany_epshiany_slnone_tpnone_month_end,0.0,60,,,,,,month_end,163,25,25,5,5,5,20,5,0.56,0.146564,732822.33,5000000.0,0.146564
vol5_0_high60_instany_epsloany_epshiany_sl30_tpnone_month_end,0.0,60,,,,0.3,,month_end,163,25,25,5,5,5,20,5,0.56,0.146564,732822.33,5000000.0,0.146564
vol5_50000_high120_instany_epsloany_epshiany_sl20_tpnone_month_end,50000.0,120,,,,0.2,,month_end,143,25,25,5,5,5,20,5,0.52,0.144922,724609.13,5000000.0,0.144922
vol5_50000_high240_instany_epsloany_epshiany_sl20_tpnone_month_end,50000.0,240,,,,0.2,,month_end,143,25,25,5,5,5,20,5,0.52,0.144922,724609.13,5000000.0,0.144922
vol5_100000_high120_instany_epsloany_epshiany_sl20_tpnone_month_end,100000.0,120,,,,0.2,,month_end,138,25,25,5,5,5,20,5,0.52,0.144922,724609.13,5000000.0,0.144922
vol5_100000_high240_instany_epsloany_epshiany_sl20_tpnone_month_end,100000.0,240,,,,0.2,,month_end,138,25,25,5,5,5,20,5,0.52,0.144922,724609.13,5000000.0,0.144922
vol5_0_high120_instany_epsloany_epshiany_sl20_tpnone_month_end,0.0,120,,,,0.2,,month_end,157,25,25,5,5,5,20,5,0.52,0.143761,718806.95,5000000.0,0.143761
vol5_0_high240_instany_epsloany_epshiany_sl20_tpnone_month_end,0.0,240,,,,0.2,,month_end,157,25,25,5,5,5,20,5,0.52,0.143761,718806.95,5000000.0,0.143761
vol5_50000_high120_instany_epsloany_epshiany_slnone_tpnone_month_end,50000.0,120,,,,,,month_end,143,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_50000_high120_instany_epsloany_epshiany_sl30_tpnone_month_end,50000.0,120,,,,0.3,,month_end,143,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_50000_high240_instany_epsloany_epshiany_slnone_tpnone_month_end,50000.0,240,,,,,,month_end,143,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_50000_high240_instany_epsloany_epshiany_sl30_tpnone_month_end,50000.0,240,,,,0.3,,month_end,143,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_100000_high120_instany_epsloany_epshiany_slnone_tpnone_month_end,100000.0,120,,,,,,month_end,138,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_100000_high120_instany_epsloany_epshiany_sl30_tpnone_month_end,100000.0,120,,,,0.3,,month_end,138,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_100000_high240_instany_epsloany_epshiany_slnone_tpnone_month_end,100000.0,240,,,,,,month_end,138,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_100000_high240_instany_epsloany_epshiany_sl30_tpnone_month_end,100000.0,240,,,,0.3,,month_end,138,25,25,5,5,5,20,5,0.52,0.143313,716562.82,5000000.0,0.143313
vol5_100000_high20_instany_epsloany_epshiany_sl10_tpnone_month_end,100000.0,20,,,,0.1,,month_end,180,25,25,5,5,5,22,3,0.52,0.142474,712372.04,5000000.0,0.142474
vol5_0_high120_instany_epsloany_epshiany_slnone_tpnone_month_end,0.0,120,,,,,,month_end,157,25,25,5,5,5,20,5,0.52,0.142152,710760.64,5000000.0,0.142152
vol5_0_high120_instany_epsloany_epshiany_sl30_tpnone_month_end,0.0,120,,,,0.3,,month_end,157,25,25,5,5,5,20,5,0.52,0.142152,710760.64,5000000.0,0.142152
vol5_0_high240_instany_epsloany_epshiany_slnone_tpnone_month_end,0.0,240,,,,,,month_end,157,25,25,5,5,5,20,5,0.52,0.142152,710760.64,5000000.0,0.142152
vol5_0_high240_instany_epsloany_epshiany_sl30_tpnone_month_end,0.0,240,,,,0.3,,month_end,157,25,25,5,5,5,20,5,0.52,0.142152,710760.64,5000000.0,0.142152
vol5_50000_high20_instany_epsloany_epshiany_sl10_tpnone_month_end,50000.0,20,,,,0.1,,month_end,196,25,25,5,5,5,22,3,0.56,0.141019,705094.0,5000000.0,0.141019
