parameter_id,revenue_month,stock_id,company_name,announcement_date,entry_date,entry_price,exit_date,exit_price,exit_status,allocation_amount,return_pct,pnl_amount,mom_pct,yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,breakout_days,volume_ratio_20d
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,2890,永豐金,2026-02-10,2026-02-11,30.65,2026-02-26,33.2,final,200000.0,0.083197,16639.48,0.9251999999999999,0.5514,3799235.0,194411.0,60,2.0946953417345657
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,6509,聚和,2026-02-10,2026-02-11,35.3,2026-02-26,39.35,final,200000.0,0.114731,22946.18,0.6516,0.1572,86000.0,0.0,60,10.408991570402748
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,6716,應廣,2026-02-10,2026-02-11,72.9,2026-02-26,96.0,final,200000.0,0.316872,63374.49,0.5106,2.3035,143000.0,0.0,60,4.729265148259562
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,6291,沛亨,2026-02-10,2026-02-11,260.0,2026-02-26,277.0,final,200000.0,0.065385,13076.92,0.0947,0.7753,8000.0,0.0,60,3.723255162104083
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,7751,竑騰,2026-02-10,2026-02-11,938.0,2026-02-26,1215.0,as_of_latest,200000.0,0.295309,59061.83,0.042300000000000004,0.8056,-127000.0,100000.0,60,3.960248447204969
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,1423,利華,2026-03-10,2026-03-11,39.0,2026-03-31,39.65,final,200000.0,0.016667,3333.33,1.9709,0.5716,6000.0,0.0,60,8.682926718967462
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,8076,伍豐,2026-03-10,2026-03-11,24.45,2026-03-31,23.5,final,200000.0,-0.038855,-7770.96,0.6262,1.1174,194004.0,0.0,60,7.069809610154125
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,6640,均華,2026-03-10,2026-03-11,927.0,2026-03-31,1340.0,final,200000.0,0.445523,89104.64,0.3005,0.5199,262000.0,2000.0,60,2.817778616589601
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,2752,豆府,2026-03-10,2026-03-11,215.0,2026-03-31,206.5,final,200000.0,-0.039535,-7906.98,0.047400000000000005,0.2426,2000.0,0.0,60,5.43778801843318
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,5511,德昌,2026-03-10,2026-03-11,69.5,2026-03-31,73.9,final,200000.0,0.063309,12661.87,0.0269,0.43090000000000006,82000.0,0.0,60,4.155108972544579
