announcement_date,used_chip_date,stock_id,company_name,market,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares
2026-02-10,2026-02-10,00878,國泰永續高股息,twse,20260210,28669069.0,0.0,29834059.0,58503128.0
2026-02-10,2026-02-10,0056,元大高股息,twse,20260210,6946773.0,0.0,49319502.0,56266275.0
2026-02-10,2026-02-10,009817,國泰日本不動產,twse,20260210,14736000.0,0.0,28022000.0,42758000.0
2026-02-10,2026-02-10,00881,國泰台灣科技龍頭,twse,20260210,17082050.0,0.0,19810663.0,36892713.0
2026-02-10,2026-02-10,00919,群益台灣精選高息,twse,20260210,26894366.0,0.0,9511690.0,36406056.0
2026-02-10,2026-02-10,0050,元大台灣50,twse,20260210,23352001.0,4526000.0,5174839.0,33052840.0
2026-02-10,2026-02-10,00940,元大台灣價值高息,twse,20260210,8837700.0,0.0,18488836.0,27326536.0
2026-02-10,2026-02-10,2610,華航,twse,20260210,25468166.0,-811655.0,264214.0,24920725.0
2026-02-10,2026-02-10,3481,群創,twse,20260210,24054786.0,-11900.0,104670.0,24147556.0
2026-02-10,2026-02-10,2618,長榮航,twse,20260210,21190834.0,-1065525.0,-1197073.0,18928236.0
2026-02-10,2026-02-10,2317,鴻海,twse,20260210,18687238.0,-447111.0,485323.0,18725450.0
2026-02-10,2026-02-10,2313,華通,twse,20260210,16425166.0,495000.0,268122.0,17188288.0
2026-02-10,2026-02-10,2301,光寶科,twse,20260210,15698367.0,1461000.0,-523166.0,16636201.0
2026-02-10,2026-02-10,00929,復華台灣科技優息,twse,20260210,7907847.0,0.0,8251100.0,16158947.0
2026-02-10,2026-02-10,2303,聯電,twse,20260210,16988892.0,-396797.0,-1663496.0,14928599.0
2026-02-10,2026-02-10,2867,三商壽,twse,20260210,12891000.0,0.0,707000.0,13598000.0
2026-02-10,2026-02-10,2409,友達,twse,20260210,13393626.0,-38000.0,-420168.0,12935458.0
2026-02-10,2026-02-10,00918,大華優利高填息30,twse,20260210,6728000.0,0.0,5820290.0,12548290.0
2026-02-10,2026-02-10,2330,台積電,twse,20260210,12633987.0,240642.0,-431349.0,12443280.0
2026-02-10,2026-02-10,2002,中鋼,twse,20260210,11287027.0,0.0,642814.0,11929841.0
2026-02-10,2026-02-10,8422,可寧衛*,twse,20260210,11099100.0,-1000.0,17932.0,11116032.0
2026-02-10,2026-02-10,2353,宏碁,twse,20260210,11079480.0,-4000.0,-99442.0,10976038.0
2026-02-10,2026-02-10,5880,合庫金,twse,20260210,10680068.0,-48419.0,339346.0,10970995.0
2026-02-10,2026-02-10,2801,彰銀,twse,20260210,9408350.0,-35343.0,212000.0,9585007.0
2026-02-10,2026-02-10,3037,欣興,twse,20260210,5898093.0,3378000.0,-66942.0,9209151.0
2026-02-10,2026-02-10,2367,燿華,twse,20260210,8837958.0,28000.0,-292191.0,8573767.0
2026-02-10,2026-02-10,00713,元大台灣高息低波,twse,20260210,1714497.0,0.0,6496471.0,8210968.0
2026-02-10,2026-02-10,3167,大量,twse,20260210,7824508.0,380000.0,-135962.0,8068546.0
2026-02-10,2026-02-10,2834,臺企銀,twse,20260210,7555074.0,-29779.0,500000.0,8025295.0
2026-02-10,2026-02-10,00882,中信中國高股息,twse,20260210,1155000.0,0.0,6627832.0,7782832.0
2026-02-10,2026-02-10,00939,統一台灣高息動能,twse,20260210,2413000.0,0.0,5086215.0,7499215.0
2026-02-10,2026-02-10,2882,國泰金,twse,20260210,7912240.0,-736070.0,217945.0,7394115.0
2026-02-10,2026-02-10,00900,富邦特選高股息30,twse,20260210,2039435.0,0.0,5199735.0,7239170.0
2026-02-10,2026-02-10,2382,廣達,twse,20260210,6700848.0,-74273.0,-193506.0,6433069.0
