event_id,revenue_month,announcement_date,announcement_time,market,stock_id,company_name,current_month_revenue,previous_month_revenue,previous_year_month_revenue,mom_pct,yoy_pct,cumulative_revenue,previous_year_cumulative_revenue,cumulative_yoy_pct,note,source_url
revenue_202601_1101,2026-01,2026-02-10,after_close,listed,1101,台泥,12252892.0,14219975.0,12213350.0,-0.1383,0.0032,12252892.0,12213350.0,0.0032,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1102,2026-01,2026-02-10,after_close,listed,1102,亞泥,5986964.0,6172608.0,5877674.0,-0.03,0.018500000000000003,5986964.0,5877674.0,0.018500000000000003,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1103,2026-01,2026-02-10,after_close,listed,1103,嘉泥,256819.0,274867.0,268003.0,-0.06559999999999999,-0.0417,256819.0,268003.0,-0.0417,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1104,2026-01,2026-02-10,after_close,listed,1104,環泥,718229.0,779128.0,687804.0,-0.0781,0.044199999999999996,718229.0,687804.0,0.044199999999999996,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1108,2026-01,2026-02-10,after_close,listed,1108,幸福,374664.0,373043.0,448229.0,0.0043,-0.1641,374664.0,448229.0,-0.1641,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1109,2026-01,2026-02-10,after_close,listed,1109,信大,373777.0,415638.0,304555.0,-0.1007,0.22719999999999999,373777.0,304555.0,0.22719999999999999,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1110,2026-01,2026-02-10,after_close,listed,1110,東泥,198691.0,236192.0,236789.0,-0.15869999999999998,-0.16079999999999997,198691.0,236789.0,-0.16079999999999997,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1201,2026-01,2026-02-10,after_close,listed,1201,味全,1676231.0,1670916.0,1913014.0,0.0031,-0.12369999999999999,1676231.0,1913014.0,-0.12369999999999999,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1203,2026-01,2026-02-10,after_close,listed,1203,味王,461815.0,435027.0,540262.0,0.061500000000000006,-0.1452,461815.0,540262.0,-0.1452,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1210,2026-01,2026-02-10,after_close,listed,1210,大成,9726934.0,9592082.0,8684590.0,0.013999999999999999,0.12,9726934.0,8684590.0,0.12,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1213,2026-01,2026-02-10,after_close,listed,1213,大飲,24751.0,20948.0,22379.0,0.1815,0.1059,24751.0,22379.0,0.1059,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1215,2026-01,2026-02-10,after_close,listed,1215,卜蜂,2634849.0,2749915.0,2331017.0,-0.0418,0.1303,2634849.0,2331017.0,0.1303,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1216,2026-01,2026-02-10,after_close,listed,1216,統一,66104462.0,52311321.0,65755516.0,0.2636,0.0053,66104462.0,65755516.0,0.0053,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1217,2026-01,2026-02-10,after_close,listed,1217,愛之味,462021.0,314958.0,469134.0,0.4669,-0.0151,462021.0,469134.0,-0.0151,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1218,2026-01,2026-02-10,after_close,listed,1218,泰山,943672.0,832865.0,887717.0,0.133,0.063,943672.0,887717.0,0.063,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1219,2026-01,2026-02-10,after_close,listed,1219,福壽,1271934.0,1332578.0,1178879.0,-0.0455,0.0789,1271934.0,1178879.0,0.0789,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1220,2026-01,2026-02-10,after_close,listed,1220,台榮,282201.0,308992.0,218906.0,-0.0867,0.2891,282201.0,218906.0,0.2891,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1225,2026-01,2026-02-10,after_close,listed,1225,福懋油,1313398.0,1130151.0,1090255.0,0.16210000000000002,0.2046,1313398.0,1090255.0,0.2046,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1227,2026-01,2026-02-10,after_close,listed,1227,佳格,3796317.0,2774103.0,3268631.0,0.36840000000000006,0.16140000000000002,3796317.0,3268631.0,0.16140000000000002,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1229,2026-01,2026-02-10,after_close,listed,1229,聯華,996429.0,1531226.0,864201.0,-0.3492,0.153,996429.0,864201.0,0.153,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1231,2026-01,2026-02-10,after_close,listed,1231,聯華食,1271114.0,1303204.0,1289469.0,-0.0246,-0.014199999999999999,1271114.0,1289469.0,-0.014199999999999999,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1232,2026-01,2026-02-10,after_close,listed,1232,大統益,2213265.0,1993530.0,1828340.0,0.11019999999999999,0.21050000000000002,2213265.0,1828340.0,0.21050000000000002,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1233,2026-01,2026-02-10,after_close,listed,1233,天仁,198102.0,202853.0,220238.0,-0.023399999999999997,-0.1005,198102.0,220238.0,-0.1005,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1234,2026-01,2026-02-10,after_close,listed,1234,黑松,794428.0,640539.0,842531.0,0.2402,-0.057,794428.0,842531.0,-0.057,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1235,2026-01,2026-02-10,after_close,listed,1235,興泰,23862.0,11362.0,8607.0,1.1001,1.7723,23862.0,8607.0,1.7723,"泰宇網通累計1月營收較去年同期增加 15,233仟元",https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1236,2026-01,2026-02-10,after_close,listed,1236,宏亞,303656.0,196864.0,295078.0,0.5424,0.028999999999999998,303656.0,295078.0,0.028999999999999998,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1256,2026-01,2026-02-10,after_close,listed,1256,鮮活果汁-KY,448137.0,408763.0,328850.0,0.09630000000000001,0.3627,448137.0,328850.0,0.3627,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1702,2026-01,2026-02-10,after_close,listed,1702,南僑,2104739.0,2010718.0,2169615.0,0.0467,-0.029900000000000003,2104739.0,2169615.0,-0.029900000000000003,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1737,2026-01,2026-02-10,after_close,listed,1737,臺鹽,277168.0,285940.0,327834.0,-0.030600000000000002,-0.1545,277168.0,327834.0,-0.1545,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_3054,2026-01,2026-02-10,after_close,listed,3054,立萬利,13427.0,9041.0,6052.0,0.4851,1.2186,13427.0,6052.0,1.2186,主係因本期產品結構改變致銷售金額增加。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_7780,2026-01,2026-02-10,after_close,listed,7780,大研生醫*,138385.0,182993.0,85763.0,-0.2437,0.6135,138385.0,85763.0,0.6135,大研醫美系列第一款保濕除皺外泌體精華液、納豆紅麴Q10等新品熱銷，營收年增61%，展現產品力與品牌實力。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_7791,2026-01,2026-02-10,after_close,listed,7791,皇家可口,139787.0,148596.0,188592.0,-0.0592,-0.2587,139787.0,188592.0,-0.2587,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1301,2026-01,2026-02-10,after_close,listed,1301,台塑,13891082.0,14304735.0,13980022.0,-0.028900000000000002,-0.0063,13891082.0,13980022.0,-0.0063,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
revenue_202601_1303,2026-01,2026-02-10,after_close,listed,1303,南亞,22872625.0,22097720.0,20458289.0,0.035,0.11800000000000001,22872625.0,20458289.0,0.11800000000000001,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_1.html
