parameter_id,mom_min,yoy_min,foreign_min,trust_min,breakout_days,volume_ratio_min,top_n,exit_rule,revenue_filtered,price_filtered,selected,trades,covered_selected_months,full_selected_months,covered_trade_months,full_trade_months,min_selected_per_month,min_trades_per_month,finalized_trades,as_of_latest_trades,win_rate,avg_return_pct,total_pnl_amount,invested_amount,portfolio_return_pct
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,0.0,0.0,,0.0,60,2.0,5,month_end,654,37,25,25,5,5,5,5,5,5,18,7,0.76,0.144548,722742.04,5000000.0,0.144548
mom0_yoy0_foreignany_trust0k_high120_vol2.0_top5_month_end,0.0,0.0,,0.0,120,2.0,5,month_end,654,37,25,25,5,5,5,5,5,5,18,7,0.76,0.144548,722742.04,5000000.0,0.144548
mom0_yoy10_foreignany_trustany_high60_vol2.0_top5_month_end,0.0,0.1,,,60,2.0,5,month_end,612,34,25,25,5,5,5,5,5,5,18,7,0.76,0.144548,722742.04,5000000.0,0.144548
mom0_yoy10_foreignany_trustany_high120_vol2.0_top5_month_end,0.0,0.1,,,120,2.0,5,month_end,612,34,25,25,5,5,5,5,5,5,18,7,0.76,0.144548,722742.04,5000000.0,0.144548
mom0_yoy10_foreignany_trust0k_high60_vol2.0_top5_month_end,0.0,0.1,,0.0,60,2.0,5,month_end,537,33,25,25,5,5,5,5,5,5,18,7,0.76,0.144548,722742.04,5000000.0,0.144548
mom0_yoy10_foreignany_trust0k_high120_vol2.0_top5_month_end,0.0,0.1,,0.0,120,2.0,5,month_end,537,33,25,25,5,5,5,5,5,5,18,7,0.76,0.144548,722742.04,5000000.0,0.144548
mom0_yoy0_foreignany_trustany_high60_vol2.0_top5_month_end,0.0,0.0,,,60,2.0,5,month_end,744,40,25,25,5,5,5,5,5,5,18,7,0.72,0.134471,672354.24,5000000.0,0.134471
mom0_yoy0_foreignany_trustany_high120_vol2.0_top5_month_end,0.0,0.0,,,120,2.0,5,month_end,744,40,25,25,5,5,5,5,5,5,18,7,0.72,0.134471,672354.24,5000000.0,0.134471
mom0_yoy0_foreignany_trust100k_high0_vol0.0_top5_month_end,0.0,0.0,,100000.0,0,0.0,5,month_end,62,51,25,25,5,5,5,5,5,5,19,6,0.76,0.131401,657006.86,5000000.0,0.131401
mom0_yoy10_foreignany_trust100k_high0_vol0.0_top5_month_end,0.0,0.1,,100000.0,0,0.0,5,month_end,57,47,25,25,5,5,5,5,5,5,19,6,0.76,0.130541,652706.35,5000000.0,0.130541
mom0_yoy30_foreignany_trustany_high120_vol0.0_top5_month_end,0.0,0.3,,,120,0.0,5,month_end,368,44,25,25,5,5,5,5,5,5,19,6,0.72,0.128884,644422.04,5000000.0,0.128884
mom0_yoy30_foreignany_trust0k_high120_vol0.0_top5_month_end,0.0,0.3,,0.0,120,0.0,5,month_end,324,43,25,25,5,5,5,5,5,5,19,6,0.72,0.128884,644422.04,5000000.0,0.128884
mom0_yoy30_foreign0k_trustany_high120_vol0.0_top5_month_end,0.0,0.3,0.0,,120,0.0,5,month_end,330,42,25,25,5,5,5,5,5,5,19,6,0.72,0.128884,644422.04,5000000.0,0.128884
mom0_yoy30_foreign0k_trust0k_high120_vol0.0_top5_month_end,0.0,0.3,0.0,0.0,120,0.0,5,month_end,286,41,25,25,5,5,5,5,5,5,19,6,0.72,0.128884,644422.04,5000000.0,0.128884
mom0_yoy30_foreignany_trustany_high60_vol0.0_top5_month_end,0.0,0.3,,,60,0.0,5,month_end,368,47,25,25,5,5,5,5,5,5,19,6,0.72,0.124232,621160.5,5000000.0,0.124232
mom0_yoy30_foreignany_trust0k_high60_vol0.0_top5_month_end,0.0,0.3,,0.0,60,0.0,5,month_end,324,46,25,25,5,5,5,5,5,5,19,6,0.72,0.124232,621160.5,5000000.0,0.124232
mom0_yoy30_foreign0k_trustany_high60_vol0.0_top5_month_end,0.0,0.3,0.0,,60,0.0,5,month_end,330,45,25,25,5,5,5,5,5,5,19,6,0.72,0.124232,621160.5,5000000.0,0.124232
