event_id,revenue_month,announcement_date,announcement_time,buy_date,buy_price,market,stock_id,company_name,current_month_revenue,mom_pct,yoy_pct,cumulative_yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,avg_volume_5d,avg_volume_20d,previous_volume,previous_volume_ratio_20d,breakout_20d,breakout_60d,breakout_120d,breakout_240d,eps_quality_score,price_file
revenue_202601_1101,2026-01,2026-02-10,after_close,2026-02-11,25.6,listed,1101,台泥,12252892.0,-0.1383,0.0032,0.0032,-605078.0,-6000.0,63957.0,-547121.0,21649910.0,42519647.65,14195611.0,0.33386003376253287,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1101.csv
revenue_202601_1102,2026-01,2026-02-10,after_close,2026-02-11,35.55,listed,1102,亞泥,5986964.0,-0.03,0.018500000000000003,0.018500000000000003,282082.0,-47646.0,-476594.0,-242158.0,6033896.2,8617114.7,4398326.0,0.5104174834762267,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1102.csv
revenue_202601_1103,2026-01,2026-02-10,after_close,2026-02-11,13.95,listed,1103,嘉泥,256819.0,-0.06559999999999999,-0.0417,-0.0417,60000.0,0.0,9000.0,69000.0,368841.0,344975.2,286903.0,0.8316626818391583,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1103.csv
revenue_202601_1104,2026-01,2026-02-10,after_close,2026-02-11,29.45,listed,1104,環泥,718229.0,-0.0781,0.044199999999999996,0.044199999999999996,9000.0,0.0,16000.0,25000.0,356050.6,483312.65,452672.0,0.9366028387628588,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1104.csv
revenue_202601_1108,2026-01,2026-02-10,after_close,2026-02-11,15.15,listed,1108,幸福,374664.0,0.0043,-0.1641,-0.1641,43000.0,0.0,-10000.0,33000.0,145652.8,219572.45,159601.0,0.7268716999787541,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1108.csv
revenue_202601_1109,2026-01,2026-02-10,after_close,2026-02-11,15.35,listed,1109,信大,373777.0,-0.1007,0.22719999999999999,0.22719999999999999,43000.0,0.0,4000.0,47000.0,66279.6,107882.45,82939.0,0.7687904751885039,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1109.csv
revenue_202601_1110,2026-01,2026-02-10,after_close,2026-02-11,16.45,listed,1110,東泥,198691.0,-0.15869999999999998,-0.16079999999999997,-0.16079999999999997,99000.0,0.0,3000.0,102000.0,179275.0,247462.8,251170.0,1.0149808375238623,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1110.csv
revenue_202601_1201,2026-01,2026-02-10,after_close,2026-02-11,14.5,listed,1201,味全,1676231.0,0.0031,-0.12369999999999999,-0.12369999999999999,38000.0,0.0,6000.0,44000.0,263298.2,306606.8,413847.0,1.3497645844775785,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1201.csv
revenue_202601_1203,2026-01,2026-02-10,after_close,2026-02-11,39.85,listed,1203,味王,461815.0,0.061500000000000006,-0.1452,-0.1452,11000.0,0.0,4000.0,15000.0,23783.0,14241.25,50835.0,3.5695602562977267,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1203.csv
revenue_202601_1210,2026-01,2026-02-10,after_close,2026-02-11,51.1,listed,1210,大成,9726934.0,0.013999999999999999,0.12,0.12,-146000.0,-9000.0,38496.0,-116504.0,1678942.2,1585675.7,1568194.0,0.988975236235253,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1210.csv
revenue_202601_1213,2026-01,2026-02-10,after_close,2026-02-11,10.15,listed,1213,大飲,24751.0,0.1815,0.1059,0.1059,,,,,8728.4,12448.35,17400.0,1.3977756088156261,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1213.csv
revenue_202601_1215,2026-01,2026-02-10,after_close,2026-02-11,150.5,listed,1215,卜蜂,2634849.0,-0.0418,0.1303,0.1303,-87000.0,0.0,-27433.0,-114433.0,602237.6,879051.45,494303.0,0.5623140716052514,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1215.csv
revenue_202601_1216,2026-01,2026-02-10,after_close,2026-02-11,73.8,listed,1216,統一,66104462.0,0.2636,0.0053,0.0053,1267174.0,-164078.0,-616075.0,487021.0,7810684.8,8964241.35,7809796.0,0.8712166144433405,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1216.csv
revenue_202601_1217,2026-01,2026-02-10,after_close,2026-06-01,9.74,listed,1217,愛之味,462021.0,0.4669,-0.0151,-0.0151,143000.0,0.0,4000.0,147000.0,,,,,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1217.csv
revenue_202601_1218,2026-01,2026-02-10,after_close,2026-02-11,18.1,listed,1218,泰山,943672.0,0.133,0.063,0.063,-134000.0,0.0,-7088.0,-141088.0,443913.2,556066.55,503938.0,0.90625483586452,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1218.csv
revenue_202601_1219,2026-01,2026-02-10,after_close,2026-06-01,12.65,listed,1219,福壽,1271934.0,-0.0455,0.0789,0.0789,53000.0,0.0,4000.0,57000.0,,,,,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1219.csv
revenue_202601_1220,2026-01,2026-02-10,after_close,2026-06-01,11.75,listed,1220,台榮,282201.0,-0.0867,0.2891,0.2891,12000.0,0.0,5000.0,17000.0,,,,,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\1220.csv
