trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,2408,192.5,208.5,191.0,207.0,138960869,27966612651,93081,listed
2026-01-05,2408,211.0,213.0,206.5,208.0,114428383,23897718926,63085,listed
2026-01-06,2408,214.0,228.5,213.0,228.5,154970722,34552758206,115992,listed
2026-01-07,2408,242.0,248.0,230.0,241.0,166211293,39945993492,104140,listed
2026-01-08,2408,239.5,247.0,237.0,241.5,90272147,21876191274,53253,listed
2026-01-09,2408,233.0,233.0,217.5,217.5,21095873,4673757350,18973,listed
2026-01-12,2408,225.5,239.0,222.0,239.0,15870590,3660092159,12065,listed
2026-01-13,2408,245.0,245.0,224.5,230.0,11040441,2560460072,11082,listed
2026-01-14,2408,225.0,236.5,225.0,236.5,10586482,2467400590,6694,listed
2026-01-15,2408,235.5,242.5,235.5,237.5,7581987,1808965459,5016,listed
2026-01-16,2408,244.5,255.0,244.5,250.0,16081545,4023609597,12257,listed
2026-01-19,2408,270.0,275.0,270.0,275.0,13083599,3591033552,9892,listed
2026-01-20,2408,247.5,274.0,247.5,272.0,27036020,7051473340,19166,listed
2026-01-21,2408,266.0,267.0,245.0,251.0,28926625,7279068721,20928,listed
2026-01-22,2408,270.0,276.0,262.0,266.5,22556646,6083794449,15327,listed
2026-01-23,2408,275.0,282.5,256.0,271.5,167399779,45412500149,107042,listed
2026-01-26,2408,279.5,295.0,274.5,286.0,112336106,31970213309,75291,listed
2026-01-27,2408,283.0,286.0,274.0,277.0,76875660,21559552495,62574,listed
2026-01-28,2408,288.0,299.5,285.0,297.0,118256822,34646841366,105377,listed
2026-01-29,2408,306.0,313.0,287.0,297.0,128064431,38543701667,105432,listed
2026-01-30,2408,303.5,326.5,303.5,326.5,127839132,40403420894,99765,listed
2026-02-02,2408,310.0,310.0,294.0,294.0,99879925,29977011614,96807,listed
2026-02-03,2408,312.0,314.5,265.0,277.5,177860167,51267904086,157880,listed
2026-02-04,2408,279.5,298.0,273.5,295.0,102753596,29469033612,100434,listed
2026-02-05,2408,282.0,286.0,269.0,275.0,88050378,24470488956,87437,listed
2026-02-06,2408,260.0,277.5,251.0,264.0,133131168,34838843909,91731,listed
2026-02-09,2408,282.5,283.0,269.0,274.5,88633773,24592767221,79537,listed
2026-02-10,2408,276.5,281.0,263.5,271.0,96717244,26293104289,84126,listed
2026-02-11,2408,266.5,281.0,264.5,278.0,91754473,25248458155,64005,listed
2026-02-23,2408,295.0,298.5,286.5,289.0,92665480,27145542238,79481,listed
2026-02-24,2408,292.0,303.0,286.0,298.0,94108231,27773122221,81299,listed
2026-02-25,2408,298.0,298.0,283.0,288.0,68339903,19651509022,78014,listed
2026-02-26,2408,290.0,291.5,277.0,285.5,65835407,18730098462,52949,listed
2026-03-02,2408,268.0,291.0,267.5,285.0,53402138,15058681450,49109,listed
2026-03-03,2408,287.0,288.0,256.5,256.5,90115002,23960559884,87905,listed
2026-03-04,2408,238.0,246.5,231.0,234.5,106985500,25341542026,76239,listed
2026-03-05,2408,257.5,257.5,257.5,257.5,21495563,5535106842,11659,listed
2026-03-06,2408,259.0,262.0,232.5,233.0,161663082,39665984073,128758,listed
2026-03-09,2408,210.0,210.0,210.0,210.0,22142051,4649830710,33278,listed
2026-03-10,2408,220.0,231.0,215.0,231.0,115081371,25826218674,71923,listed
2026-03-11,2408,245.0,254.0,240.0,254.0,90316151,22598240503,50803,listed
2026-03-12,2408,257.0,261.5,239.0,239.5,152212129,37804144695,119132,listed
2026-03-13,2408,237.5,245.5,235.0,238.0,95267222,22842696759,69195,listed
2026-03-16,2408,247.0,261.5,245.5,261.5,93491414,23972661595,71279,listed
2026-03-17,2408,267.0,284.5,266.5,271.5,132621447,36484096132,93539,listed
2026-03-18,2408,284.5,288.5,271.5,276.0,102342490,28659751368,82497,listed
