spec_index,family,min_score,target_positions_per_month,min_trades_per_month,chip_w,tech_w,fundamental_w,value_w,trades,months,win_rate,avg_return_pct,monthly_avg_return_pct,objective
161,breakout_growth,0.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
165,breakout_growth,2.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
169,breakout_growth,4.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
173,breakout_growth,6.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
177,breakout_growth,0.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
181,breakout_growth,2.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
185,breakout_growth,4.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
189,breakout_growth,6.0,20,20,1.0,1.0,1.2,1.0,100,5,0.69,0.104962,0.104962,0.338977
163,breakout_growth,0.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
167,breakout_growth,2.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
171,breakout_growth,4.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
175,breakout_growth,6.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
179,breakout_growth,0.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
183,breakout_growth,2.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
187,breakout_growth,4.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
191,breakout_growth,6.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110321,0.110321,0.334193
35,breakout_growth,0.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
39,breakout_growth,2.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
43,breakout_growth,4.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
47,breakout_growth,6.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
51,breakout_growth,0.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
55,breakout_growth,2.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
59,breakout_growth,4.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
63,breakout_growth,6.0,5,5,1.0,1.4,0.8,1.0,25,5,0.68,0.085278,0.085278,0.323167
160,breakout_growth,0.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
164,breakout_growth,2.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
168,breakout_growth,4.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
172,breakout_growth,6.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
176,breakout_growth,0.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
180,breakout_growth,2.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
184,breakout_growth,4.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
188,breakout_growth,6.0,20,20,1.2,1.2,1.0,0.6,100,5,0.66,0.09208,0.09208,0.319248
1,breakout_growth,0.0,3,3,1.0,1.0,1.2,1.0,15,5,0.666667,0.08513,0.08513,0.317745
5,breakout_growth,2.0,3,3,1.0,1.0,1.2,1.0,15,5,0.666667,0.08513,0.08513,0.317745
9,breakout_growth,4.0,3,3,1.0,1.0,1.2,1.0,15,5,0.666667,0.08513,0.08513,0.317745
13,breakout_growth,6.0,3,3,1.0,1.0,1.2,1.0,15,5,0.666667,0.08513,0.08513,0.317745
162,breakout_growth,0.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
166,breakout_growth,2.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
170,breakout_growth,4.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
174,breakout_growth,6.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
178,breakout_growth,0.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
182,breakout_growth,2.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
186,breakout_growth,4.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
190,breakout_growth,6.0,20,20,1.4,1.2,0.8,0.8,100,5,0.65,0.096006,0.096006,0.317604
131,breakout_growth,0.0,15,15,1.0,1.4,0.8,1.0,75,5,0.64,0.101664,0.101664,0.316998
135,breakout_growth,2.0,15,15,1.0,1.4,0.8,1.0,75,5,0.64,0.101664,0.101664,0.316998
139,breakout_growth,4.0,15,15,1.0,1.4,0.8,1.0,75,5,0.64,0.101664,0.101664,0.316998
143,breakout_growth,6.0,15,15,1.0,1.4,0.8,1.0,75,5,0.64,0.101664,0.101664,0.316998
147,breakout_growth,0.0,15,15,1.0,1.4,0.8,1.0,75,5,0.64,0.101664,0.101664,0.316998
151,breakout_growth,2.0,15,15,1.0,1.4,0.8,1.0,75,5,0.64,0.101664,0.101664,0.316998
