family,min_score,target_positions_per_month,min_trades_per_month,chip_w,tech_w,fundamental_w,value_w,trades,months,win_rate,avg_return_pct,monthly_avg_return_pct,objective
global,0.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,2.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,4.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.2,1.2,1.0,0.6,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.0,1.0,1.2,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.4,1.2,0.8,0.8,100,5,0.67,0.110251,0.110251,0.334151
global,6.0,20,20,1.0,1.4,0.8,1.0,100,5,0.67,0.110251,0.110251,0.334151
global,0.0,15,15,1.2,1.2,1.0,0.6,75,5,0.626667,0.098101,0.098101,0.309527
global,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,0.0,15,15,1.4,1.2,0.8,0.8,75,5,0.626667,0.098101,0.098101,0.309527
global,0.0,15,15,1.0,1.4,0.8,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,2.0,15,15,1.2,1.2,1.0,0.6,75,5,0.626667,0.098101,0.098101,0.309527
global,2.0,15,15,1.0,1.0,1.2,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,2.0,15,15,1.4,1.2,0.8,0.8,75,5,0.626667,0.098101,0.098101,0.309527
global,2.0,15,15,1.0,1.4,0.8,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,4.0,15,15,1.2,1.2,1.0,0.6,75,5,0.626667,0.098101,0.098101,0.309527
global,4.0,15,15,1.0,1.0,1.2,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,4.0,15,15,1.4,1.2,0.8,0.8,75,5,0.626667,0.098101,0.098101,0.309527
global,4.0,15,15,1.0,1.4,0.8,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,6.0,15,15,1.2,1.2,1.0,0.6,75,5,0.626667,0.098101,0.098101,0.309527
global,6.0,15,15,1.0,1.0,1.2,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,6.0,15,15,1.4,1.2,0.8,0.8,75,5,0.626667,0.098101,0.098101,0.309527
global,6.0,15,15,1.0,1.4,0.8,1.0,75,5,0.626667,0.098101,0.098101,0.309527
global,0.0,15,15,1.2,1.2,1.0,0.6,75,5,0.626667,0.098101,0.098101,0.309527
global,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.626667,0.098101,0.098101,0.309527
