spec_index,family,min_score,target_positions_per_month,min_trades_per_month,chip_w,tech_w,fundamental_w,value_w,trades,months,win_rate,avg_return_pct,monthly_avg_return_pct,objective
386,second_breakout,0.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
390,second_breakout,2.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
394,second_breakout,4.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
398,second_breakout,6.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
545,second_breakout,0.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
549,second_breakout,2.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
553,second_breakout,4.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
557,second_breakout,6.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
561,second_breakout,0.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
565,second_breakout,2.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
569,second_breakout,4.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
573,second_breakout,6.0,20,20,1.0,1.0,1.2,1.0,100,5,0.7,0.143731,0.143731,0.366239
515,second_breakout,0.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
519,second_breakout,2.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
523,second_breakout,4.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
527,second_breakout,6.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
531,second_breakout,0.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
535,second_breakout,2.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
539,second_breakout,4.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
543,second_breakout,6.0,15,15,1.0,1.4,0.8,1.0,75,5,0.72,0.130053,0.130053,0.366032
513,second_breakout,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
517,second_breakout,2.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
521,second_breakout,4.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
525,second_breakout,6.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
529,second_breakout,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
533,second_breakout,2.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
537,second_breakout,4.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
541,second_breakout,6.0,15,15,1.0,1.0,1.2,1.0,75,5,0.706667,0.137354,0.137354,0.365079
