spec_index,family,min_score,target_positions_per_month,min_trades_per_month,chip_w,tech_w,fundamental_w,value_w,trades,months,win_rate,avg_return_pct,monthly_avg_return_pct,objective
386,second_breakout,0.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
390,second_breakout,2.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
394,second_breakout,4.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
398,second_breakout,6.0,3,3,1.4,1.2,0.8,0.8,15,5,0.866667,0.140477,0.140477,0.430953
289,undervalued_growth,0.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
293,undervalued_growth,2.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
297,undervalued_growth,4.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
301,undervalued_growth,6.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
305,undervalued_growth,0.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
309,undervalued_growth,2.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
313,undervalued_growth,4.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
317,undervalued_growth,6.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
259,undervalued_growth,0.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
263,undervalued_growth,2.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
267,undervalued_growth,4.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
271,undervalued_growth,6.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
275,undervalued_growth,0.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
279,undervalued_growth,2.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
283,undervalued_growth,4.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
287,undervalued_growth,6.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
321,undervalued_growth,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
325,undervalued_growth,2.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
329,undervalued_growth,4.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
333,undervalued_growth,6.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
337,undervalued_growth,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
341,undervalued_growth,2.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
345,undervalued_growth,4.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
