spec_index,family,min_score,target_positions_per_month,min_trades_per_month,chip_w,tech_w,fundamental_w,value_w,trades,months,win_rate,avg_return_pct,monthly_avg_return_pct,objective
289,undervalued_growth,0.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
293,undervalued_growth,2.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
297,undervalued_growth,4.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
301,undervalued_growth,6.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
305,undervalued_growth,0.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
309,undervalued_growth,2.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
313,undervalued_growth,4.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
317,undervalued_growth,6.0,10,10,1.0,1.0,1.2,1.0,50,5,0.76,0.122552,0.122552,0.377531
259,undervalued_growth,0.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
263,undervalued_growth,2.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
267,undervalued_growth,4.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
271,undervalued_growth,6.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
275,undervalued_growth,0.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
279,undervalued_growth,2.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
283,undervalued_growth,4.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
287,undervalued_growth,6.0,8,8,1.0,1.4,0.8,1.0,40,5,0.75,0.116704,0.116704,0.370022
321,undervalued_growth,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
325,undervalued_growth,2.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
329,undervalued_growth,4.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
333,undervalued_growth,6.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
337,undervalued_growth,0.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
341,undervalued_growth,2.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
345,undervalued_growth,4.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
349,undervalued_growth,6.0,15,15,1.0,1.0,1.2,1.0,75,5,0.72,0.134659,0.134659,0.368795
323,undervalued_growth,0.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
327,undervalued_growth,2.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
331,undervalued_growth,4.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
335,undervalued_growth,6.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
339,undervalued_growth,0.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
343,undervalued_growth,2.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
347,undervalued_growth,4.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
351,undervalued_growth,6.0,15,15,1.0,1.4,0.8,1.0,75,5,0.693333,0.139192,0.139192,0.360848
354,undervalued_growth,0.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
358,undervalued_growth,2.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
362,undervalued_growth,4.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
366,undervalued_growth,6.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
370,undervalued_growth,0.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
374,undervalued_growth,2.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
378,undervalued_growth,4.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
382,undervalued_growth,6.0,20,20,1.4,1.2,0.8,0.8,100,5,0.7,0.133932,0.133932,0.360359
355,undervalued_growth,0.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
359,undervalued_growth,2.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
363,undervalued_growth,4.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
367,undervalued_growth,6.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
371,undervalued_growth,0.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
375,undervalued_growth,2.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
379,undervalued_growth,4.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
383,undervalued_growth,6.0,20,20,1.0,1.4,0.8,1.0,100,5,0.7,0.126298,0.126298,0.355779
