spec_index,target_positions_per_month,min_trades_per_month,score_step,chip_weight,tech_weight,fundamental_weight,threshold,trades,months,win_rate,avg_return_pct,monthly_avg_return_pct,objective
28,15,7,0.5,1.0,1.2,0.8,19.0,67,5,0.686567,0.095025,0.089445,0.359824
28,15,7,0.5,1.0,1.2,0.8,19.5,67,5,0.686567,0.095025,0.089445,0.359824
28,15,7,0.5,1.0,1.2,0.8,20.0,67,5,0.686567,0.095025,0.089445,0.359824
34,15,7,0.5,1.0,1.2,0.8,19.0,67,5,0.686567,0.095025,0.089445,0.359824
34,15,7,0.5,1.0,1.2,0.8,19.5,67,5,0.686567,0.095025,0.089445,0.359824
34,15,7,0.5,1.0,1.2,0.8,20.0,67,5,0.686567,0.095025,0.089445,0.359824
28,15,6,0.5,1.0,1.2,0.8,21.0,63,5,0.68254,0.09538,0.092437,0.358866
34,15,6,0.5,1.0,1.2,0.8,21.0,63,5,0.68254,0.09538,0.092437,0.358866
38,20,7,0.5,1.2,1.2,0.8,21.0,84,5,0.678571,0.098897,0.092861,0.358241
44,20,7,0.5,1.2,1.2,0.8,21.0,84,5,0.678571,0.098897,0.092861,0.358241
40,20,7,0.5,1.0,1.2,0.8,19.0,85,5,0.682353,0.095612,0.089786,0.358189
40,20,7,0.5,1.0,1.2,0.8,19.5,85,5,0.682353,0.095612,0.089786,0.358189
46,20,7,0.5,1.0,1.2,0.8,19.0,85,5,0.682353,0.095612,0.089786,0.358189
46,20,7,0.5,1.0,1.2,0.8,19.5,85,5,0.682353,0.095612,0.089786,0.358189
41,20,8,0.5,1.0,1.0,1.0,18.5,86,5,0.674419,0.097974,0.098689,0.357553
47,20,8,0.5,1.0,1.0,1.0,18.5,86,5,0.674419,0.097974,0.098689,0.357553
28,15,5,0.5,1.0,1.2,0.8,21.5,60,5,0.683333,0.088996,0.089333,0.356532
34,15,5,0.5,1.0,1.2,0.8,21.5,60,5,0.683333,0.088996,0.089333,0.356532
40,20,7,0.5,1.0,1.2,0.8,20.0,83,5,0.674699,0.096137,0.091642,0.355366
46,20,7,0.5,1.0,1.2,0.8,20.0,83,5,0.674699,0.096137,0.091642,0.355366
38,20,7,0.5,1.2,1.2,0.8,21.5,82,5,0.670732,0.099508,0.094655,0.355346
44,20,7,0.5,1.2,1.2,0.8,21.5,82,5,0.670732,0.099508,0.094655,0.355346
28,15,6,0.5,1.0,1.2,0.8,20.5,65,5,0.676923,0.093417,0.088414,0.354744
34,15,6,0.5,1.0,1.2,0.8,20.5,65,5,0.676923,0.093417,0.088414,0.354744
38,20,6,0.5,1.2,1.2,0.8,22.5,78,5,0.666667,0.099585,0.096588,0.354023
38,20,6,0.5,1.2,1.2,0.8,23.0,78,5,0.666667,0.099585,0.096588,0.354023
44,20,6,0.5,1.2,1.2,0.8,22.5,78,5,0.666667,0.099585,0.096588,0.354023
44,20,6,0.5,1.2,1.2,0.8,23.0,78,5,0.666667,0.099585,0.096588,0.354023
38,20,7,0.5,1.2,1.2,0.8,22.0,81,5,0.666667,0.099254,0.095085,0.353548
44,20,7,0.5,1.2,1.2,0.8,22.0,81,5,0.666667,0.099254,0.095085,0.353548
38,20,11,0.5,1.2,1.2,0.8,20.5,91,5,0.67033,0.096805,0.091244,0.353501
44,20,11,0.5,1.2,1.2,0.8,20.5,91,5,0.67033,0.096805,0.091244,0.353501
40,20,6,0.5,1.0,1.2,0.8,21.0,78,5,0.666667,0.096174,0.095133,0.352636
46,20,6,0.5,1.0,1.2,0.8,21.0,78,5,0.666667,0.096174,0.095133,0.352636
26,15,7,0.5,1.2,1.2,0.8,21.0,67,5,0.671642,0.09349,0.088074,0.352304
26,15,7,0.5,1.2,1.2,0.8,21.5,67,5,0.671642,0.09349,0.088074,0.352304
32,15,7,0.5,1.2,1.2,0.8,21.0,67,5,0.671642,0.09349,0.088074,0.352304
32,15,7,0.5,1.2,1.2,0.8,21.5,67,5,0.671642,0.09349,0.088074,0.352304
28,15,5,0.5,1.0,1.2,0.8,22.5,54,5,0.685185,0.079552,0.074975,0.350943
34,15,5,0.5,1.0,1.2,0.8,22.5,54,5,0.685185,0.079552,0.074975,0.350943
40,20,11,0.5,1.0,1.2,0.8,18.5,91,5,0.67033,0.091902,0.086782,0.350915
46,20,11,0.5,1.0,1.2,0.8,18.5,91,5,0.67033,0.091902,0.086782,0.350915
41,20,7,0.5,1.0,1.0,1.0,19.0,84,5,0.666667,0.0947,0.089796,0.350859
47,20,7,0.5,1.0,1.0,1.0,19.0,84,5,0.666667,0.0947,0.089796,0.350859
26,15,6,0.5,1.2,1.2,0.8,22.5,63,5,0.666667,0.093204,0.090006,0.350463
26,15,6,0.5,1.2,1.2,0.8,23.0,63,5,0.666667,0.093204,0.090006,0.350463
32,15,6,0.5,1.2,1.2,0.8,22.5,63,5,0.666667,0.093204,0.090006,0.350463
32,15,6,0.5,1.2,1.2,0.8,23.0,63,5,0.666667,0.093204,0.090006,0.350463
40,20,5,0.5,1.0,1.2,0.8,21.5,75,5,0.666667,0.091098,0.092029,0.350337
46,20,5,0.5,1.0,1.2,0.8,21.5,75,5,0.666667,0.091098,0.092029,0.350337
26,15,7,0.5,1.2,1.2,0.8,22.0,66,5,0.666667,0.093087,0.088503,0.350052
32,15,7,0.5,1.2,1.2,0.8,22.0,66,5,0.666667,0.093087,0.088503,0.350052
40,20,5,0.5,1.0,1.2,0.8,22.5,62,5,0.677419,0.086555,0.076088,0.349827
46,20,5,0.5,1.0,1.2,0.8,22.5,62,5,0.677419,0.086555,0.076088,0.349827
