spec_index,target_positions_per_month,min_trades_per_month,score_step,chip_weight,tech_weight,fundamental_weight,value_weight,threshold,trades,months,win_rate,avg_return_pct,monthly_avg_return_pct,objective
37,20,6,0.5,1.2,1.2,0.8,1.0,22.5,80,5,0.6625,0.086045,0.085185,0.316412
43,20,6,0.5,1.2,1.2,0.8,1.0,22.5,80,5,0.6625,0.086045,0.085185,0.316412
40,20,6,0.5,1.0,1.2,0.8,1.4,21.0,80,5,0.6625,0.079173,0.079237,0.31252
46,20,6,0.5,1.0,1.2,0.8,1.4,21.0,80,5,0.6625,0.079173,0.079237,0.31252
37,20,6,0.5,1.2,1.2,0.8,1.0,23.0,79,5,0.658228,0.082065,0.081594,0.312412
43,20,6,0.5,1.2,1.2,0.8,1.0,23.0,79,5,0.658228,0.082065,0.081594,0.312412
37,20,7,0.5,1.2,1.2,0.8,1.0,22.0,84,5,0.654762,0.084975,0.081459,0.312011
43,20,7,0.5,1.2,1.2,0.8,1.0,22.0,84,5,0.654762,0.084975,0.081459,0.312011
39,20,6,0.5,1.4,1.2,0.8,1.0,24.5,79,5,0.658228,0.079399,0.078971,0.310824
45,20,6,0.5,1.4,1.2,0.8,1.0,24.5,79,5,0.658228,0.079399,0.078971,0.310824
37,20,8,0.5,1.2,1.2,0.8,1.0,21.0,88,5,0.659091,0.081999,0.073797,0.310785
43,20,8,0.5,1.2,1.2,0.8,1.0,21.0,88,5,0.659091,0.081999,0.073797,0.310785
40,20,8,0.5,1.0,1.2,0.8,1.4,19.0,88,5,0.659091,0.07836,0.070594,0.308711
40,20,8,0.5,1.0,1.2,0.8,1.4,19.5,88,5,0.659091,0.07836,0.070594,0.308711
46,20,8,0.5,1.0,1.2,0.8,1.4,19.0,88,5,0.659091,0.07836,0.070594,0.308711
46,20,8,0.5,1.0,1.2,0.8,1.4,19.5,88,5,0.659091,0.07836,0.070594,0.308711
40,20,5,0.5,1.0,1.2,0.8,1.4,21.5,76,5,0.657895,0.073872,0.078383,0.308609
46,20,5,0.5,1.0,1.2,0.8,1.4,21.5,76,5,0.657895,0.073872,0.078383,0.308609
39,20,8,0.5,1.4,1.2,0.8,1.0,23.0,88,5,0.659091,0.077456,0.069799,0.308196
45,20,8,0.5,1.4,1.2,0.8,1.0,23.0,88,5,0.659091,0.077456,0.069799,0.308196
37,20,8,0.5,1.2,1.2,0.8,1.0,21.5,86,5,0.651163,0.082188,0.075303,0.308057
43,20,8,0.5,1.2,1.2,0.8,1.0,21.5,86,5,0.651163,0.082188,0.075303,0.308057
40,20,8,0.5,1.0,1.2,0.8,1.4,20.0,87,5,0.655172,0.079199,0.072094,0.307812
46,20,8,0.5,1.0,1.2,0.8,1.4,20.0,87,5,0.655172,0.079199,0.072094,0.307812
40,20,6,0.5,1.0,1.2,0.8,1.4,20.5,83,5,0.650602,0.080307,0.077508,0.307725
46,20,6,0.5,1.0,1.2,0.8,1.4,20.5,83,5,0.650602,0.080307,0.077508,0.307725
37,20,11,0.5,1.2,1.2,0.8,1.0,20.5,91,5,0.648352,0.082328,0.078069,0.307673
43,20,11,0.5,1.2,1.2,0.8,1.0,20.5,91,5,0.648352,0.082328,0.078069,0.307673
