combo,trades,months,win_rate,avg_return_pct,median_return_pct,monthly_avg_return_pct,hit_goal
"trust_buy_positive,prev_vol_ratio_gt_1_5,breakout_20d",5,3,1.0,0.219032,0.172996,0.231745,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d",5,3,1.0,0.219032,0.172996,0.231745,False
"trust_buy_positive,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k",5,3,1.0,0.219032,0.172996,0.231745,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k",5,3,1.0,0.219032,0.172996,0.231745,False
"trust_buy_positive,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_positive,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_positive,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_positive,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",10,4,0.7,0.173973,0.133333,0.197139,False
"trust_buy_gt_50k,avg_volume_5d_gt_1m,prev_vol_ratio_gt_1_5",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,trust_buy_positive,avg_volume_5d_gt_1m,prev_vol_ratio_gt_1_5",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,avg_volume_5d_gt_1m,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,avg_volume_5d_gt_1m,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,trust_buy_positive,avg_volume_5d_gt_1m,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,trust_buy_positive,avg_volume_5d_gt_1m,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,avg_volume_5d_gt_1m,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,trust_buy_positive,avg_volume_5d_gt_1m,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",20,4,0.8,0.202204,0.133333,0.188189,False
"trust_buy_gt_50k,prev_vol_ratio_gt_1_5",23,5,0.782609,0.195637,0.133333,0.187055,False
"trust_buy_gt_50k,trust_buy_positive,prev_vol_ratio_gt_1_5",23,5,0.782609,0.195637,0.133333,0.187055,False
"trust_buy_gt_50k,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5",23,5,0.782609,0.195637,0.133333,0.187055,False
"trust_buy_gt_50k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",23,5,0.782609,0.195637,0.133333,0.187055,False
"trust_buy_gt_50k,trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5",23,5,0.782609,0.195637,0.133333,0.187055,False
"trust_buy_gt_50k,trust_buy_positive,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",23,5,0.782609,0.195637,0.133333,0.187055,False
"trust_buy_gt_50k,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",23,5,0.782609,0.195637,0.133333,0.187055,False
"trust_buy_gt_50k,trust_buy_positive,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k",23,5,0.782609,0.195637,0.133333,0.187055,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
